Tow ,Family,Species,Length_mm,length_type,original_meas,Destination,Preservation,Note
1,Phosichthyidae,Vinciguerria nimbaria,,SL,,,EtOH,length missing on data sheet
1,Myctophidae,Unidentified Myctophid,31,SL,,SIO,EtOH,
1,Myctophidae,Lampanyctus-Nannobrachium,31.4,SL,,SIO,EtOH,
1,Myctophidae,Lampanyctus-Nannobrachium,35,SL,,SIO,EtOH,
1,Myctophidae,Lampanyctus-Nannobrachium,45.7,SL,,AC ,,
1,Myctophidae,Lampanyctus-Nannobrachium,33.2,SL,,AC ,,
1,Myctophidae,Lampanyctus-Nannobrachium,30,SL,,AC ,,
1,Myctophidae,Lampanyctus-Nannobrachium,20.5,SL,,AC ,,
1,Myctophidae,Lampanyctus-Nannobrachium,29.7,SL,,SIO,EtOH,
1,Myctophidae,Lampanyctus-Nannobrachium,33.4,SL,,SIO,EtOH,
1,Myctophidae,Lampanyctus-Nannobrachium,31,SL,,AC ,,
1,Myctophidae,Lampanyctus-Nannobrachium,25.4,SL,,AC ,,
1,Myctophidae,Lampanyctus-Nannobrachium,24,SL,,AC ,,
1,Myctophidae,Lampanyctus-Nannobrachium,30,SL,,AC ,,
1,Myctophidae,Lampanyctus-Nannobrachium,31.6,SL,,AC ,,
1,Stomiidae,Astronesthes sp.,73.8,SL,,AC ,,
1,Idiacanthidae,Idiacanthus antrostomus,105,SL,,AC ,,
1,Idiacanthidae,Idiacanthus antrostomus,75.4,SL,,AC ,,
1,Stomiidae,Thysanactis (cf dentex),55.3,SL,,AC ,,
1,Idiacanthidae,Idiacanthus fasciola,133.9,SL,,AC ,,
1,Phosichthyidae,Vinciguerria nimbaria,21.3,SL,,SIO,EtOH,possibly lucetia
1,Sternoptychidae,Argyropelecus sladeni,21,SL,,AC ,,
1,Melamphaidae,Melamphaidae,17,SL,,AC ,,
1,Melamphaidae,Melamphaidae,11,SL,,AC ,,
1,Melamphaidae,Melamphaidae,12.6,SL,,AC ,,
1,Melamphaidae,Melamphaidae,12.4,SL,,AC ,,
1,Melamphaidae,Melamphaidae,17.9,SL,,AC ,,
1,Melamphaidae,Melamphaidae,14,SL,,AC ,,
1,Enoploteuthidae,Abraliopsis sp.,11.8,SL,,AC ,,DML
1,Pyrosomatidae,Pyrosoma sp.,78,SL,,AC ,,TL
1,Myctophidae,Unidentified Myctophid,21.8,SL,,AC ,,scales and photophores gone
1,Myctophidae,Notolychnus valdiviae,20,SL,,AC ,,
1,Myctophidae,Notolychnus valdiviae,13.7,SL,,AC ,,
1,Myctophidae,Notolychnus valdiviae,14.5,SL,,AC ,,
1,Myctophidae,Ceratoscopelus warmingii,50.3,SL,,AC ,,
1,Myctophidae,Ceratoscopelus warmingii,23,SL,,AC ,,
1,Myctophidae,Ceratoscopelus warmingii,23,SL,,AC ,,
1,Myctophidae,Ceratoscopelus warmingii,23.2,SL,,AC ,,
1,Myctophidae,Ceratoscopelus warmingii,26.3,SL,,AC ,,
1,Myctophidae,Ceratoscopelus warmingii,23.8,SL,,AC ,,
1,Myctophidae,Ceratoscopelus warmingii,22.7,SL,,AC ,,
1,Phosichthyidae,Vinciguerria poweriae,18.3,SL,,SIO,EtOH,
1,Phosichthyidae,Vinciguerria poweriae,16.1,SL,,SIO,EtOH,
1,Phosichthyidae,Vinciguerria poweriae,13.4,SL,,AC ,,
1,Phosichthyidae,Vinciguerria poweriae,13,SL,,AC ,,
1,Phosichthyidae,Vinciguerria poweriae,11.1,SL,,AC ,,
1,Phosichthyidae,Vinciguerria poweriae,11.5,SL,,AC ,,
1,Phosichthyidae,Vinciguerria poweriae,11,SL,,AC ,,
1,Phosichthyidae,Vinciguerria poweriae,11,SL,,AC ,,
1,Phosichthyidae,Vinciguerria poweriae,11,SL,,AC ,,
1,Phosichthyidae,Vinciguerria poweriae,11.8,SL,,AC ,,
1,Phosichthyidae,Vinciguerria poweriae,12.2,SL,,AC ,,
1,Myctophidae,Diaphus anderseni,24.9,SL,,AC ,,
1,Myctophidae,Diaphus anderseni,16.8,SL,,AC ,,
1,Exocetidae,Exocetidae,60,SL,,AC ,,
1,Penaeidae,Penaeidae,6.7,CL,,AC ,,
1,Penaeidae,Penaeidae,6.1,CL,,AC ,,
1,Penaeidae,Penaeidae,7.9,CL,,AC ,,
1,Penaeidae,Penaeidae,7.9,CL,,AC ,,
1,Penaeidae,Penaeidae,8.9,CL,,AC ,,
1,Penaeidae,Penaeidae,8.1,CL,,AC ,,
1,Sergestidae,Sergestidae,6.7,CL,,AC ,,
1,Sergestidae,Sergestidae,4.1,CL,,AC ,,
1,Sergestidae,Sergestidae,3.1,CL,,AC ,,
1,Sergestidae,Sergestidae,9.4,CL,,AC ,,
1,Caridea,Caridea,8,CL,22.4,AC ,,second measure eye to end of carapace
1,Caridea,Caridea,9.2,CL,34.1,AC ,,
1,Euphausiacea,Euphausiacea,7.4,CL,,AC ,,
1,Euphausiacea,Euphausiacea,5.4,CL,,AC ,,
1,Euphausiacea,Euphausiacea,4.5,CL,,AC ,,
1,Euphausiacea,Euphausiacea,5.6,CL,,AC ,,
1,Euphausiacea,Euphausiacea,5.4,CL,,AC ,,
1,Euphausiacea,Euphausiacea,5.5,CL,,AC ,,
1,Euphausiacea,Euphausiacea,6.8,CL,,AC ,,
1,Euphausiacea,Euphausiacea,4,CL,,AC ,,
1,Euphausiacea,Euphausiacea,5.8,CL,,AC ,,
1,Euphausiacea,Euphausiacea,4.3,CL,,AC ,,
1,Euphausiacea,Euphausiacea,4.9,CL,,AC ,,
1,Euphausiacea,Euphausiacea,5.1,CL,,AC ,,
1,Euphausiacea,Euphausiacea,5.2,CL,,AC ,,
1,Euphausiacea,Euphausiacea,4.9,CL,,AC ,,
1,Euphausiacea,Euphausiacea,5.1,CL,,AC ,,
1,Euphausiacea,Euphausiacea,4,CL,,AC ,,
1,Euphausiacea,Euphausiacea,5.7,CL,,AC ,,
1,Euphausiacea,Euphausiacea,3.2,CL,,AC ,,
1,Euphausiacea,Euphausiacea,3.1,CL,,AC ,,
1,Euphausiacea,Euphausiacea,2.7,CL,,AC ,,
1,Euphausiacea,Euphausiacea,9.1,CL,,AC ,,
1,Euphausiacea,Euphausiacea,2.7,CL,,AC ,,
1,Euphausiacea,Euphausiacea,5,CL,,AC ,,
